Finding ID,CBOM Record ID,Mission Thread ID,Discovery Date,Discovery Method,Tool / Capability,Coverage Domain,Asset / Endpoint,Internet or Internal,Observed Crypto Artifact,Algorithm / Protocol,Library / Package,Container Image / Digest,SBOM Reference,Evidence Location,Finding Confidence,Authoritative Record Matched?,Validation Status,Blind Spot / Limitation,False Positive?,Remediation Required?,Assigned Owner,Next Validation Date,Source / Notes
FIND-00062,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/emSign_Root_CA_-_G1.pem,Internal,PEM certificate in /etc/ssl/certs/emSign_Root_CA_-_G1.pem,RSA,,,,sha256:40f6af0346a99aa1cd1d555a4e9cce62c7f9634603ee406615833dc8c8d00367,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00063,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/b0d5255e.0,Internal,PEM certificate in /etc/ssl/certs/b0d5255e.0,RSA,,,,sha256:06c08d7dafd876971eb1124fe67f847ec0c7a158d3ea53cbe940e2ea9791f4c3,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00064,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/a09a51ae.0,Internal,PEM certificate in /etc/ssl/certs/a09a51ae.0,RSA,,,,sha256:8e8221b2e7d4007836a1672f0dcc299c33bc07d316f132fa1a206d587150f1ce,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00065,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Atos_TrustedRoot_Root_CA_ECC_TLS_2021.pem,Internal,PEM certificate in /etc/ssl/certs/Atos_TrustedRoot_Root_CA_ECC_TLS_2021.pem,EC (ECDSA/ECDH),,,,sha256:b2fae53e14ccd7ab9212064701ae279c1d8988facb775fa8a008914e663988a8,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00066,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/9e654b62.0,Internal,PEM certificate in /etc/ssl/certs/9e654b62.0,RSA,,,,sha256:193144f431e0fddb740717d4de926a571133884b4360d30e272913cbe660ce41,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00067,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/QuoVadis_Root_CA_2_G3.pem,Internal,PEM certificate in /etc/ssl/certs/QuoVadis_Root_CA_2_G3.pem,RSA,,,,sha256:8fe4fb0af93a4d0d67db0bebb23e37c71bf325dcbcdd240ea04daf58b47e1840,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00068,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/e868b802.0,Internal,PEM certificate in /etc/ssl/certs/e868b802.0,EC (ECDSA/ECDH),,,,sha256:beb00b30839b9bc32c32e4447905950641f26421b15ed089198b518ae2ea1b99,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00069,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/emSign_ECC_Root_CA_-_C3.pem,Internal,PEM certificate in /etc/ssl/certs/emSign_ECC_Root_CA_-_C3.pem,EC (ECDSA/ECDH),,,,sha256:bc4d809b15189d78db3e1d8cf4f9726a795da1643ca5f1358e1ddb0edc0d7eb3,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00070,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/cd8c0d63.0,Internal,PEM certificate in /etc/ssl/certs/cd8c0d63.0,RSA,,,,sha256:ebc5570c29018c4d67b1aa127baf12f703b4611ebc17b7dab5573894179b93fa,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00071,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/DigiCert_Assured_ID_Root_G2.pem,Internal,PEM certificate in /etc/ssl/certs/DigiCert_Assured_ID_Root_G2.pem,RSA,,,,sha256:7d05ebb682339f8c9451ee094eebfefa7953a114edb2f44949452fab7d2fc185,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00072,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/a89d74c2.0,Internal,PEM certificate in /etc/ssl/certs/a89d74c2.0,RSA,,,,sha256:8faf7d2e2cb4709bb8e0b33666bf75a5dd45b5de480f8ea8d4bfe6bebc17f2ed,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00073,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/7719f463.0,Internal,PEM certificate in /etc/ssl/certs/7719f463.0,EC (ECDSA/ECDH),,,,sha256:44b545aa8a25e65a73ca15dc27fc36d24c1cb9953a066539b11582dc487b4833,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00074,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/TWCA_Root_Certification_Authority.pem,Internal,PEM certificate in /etc/ssl/certs/TWCA_Root_Certification_Authority.pem,RSA,,,,sha256:bfd88fe1101c41ae3e801bf8be56350ee9bad1a6b9bd515edc5c6d5b8711ac44,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00075,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/5443e9e3.0,Internal,PEM certificate in /etc/ssl/certs/5443e9e3.0,RSA,,,,sha256:fd73dad31c644ff1b43bef0ccdda96710b9cd9875eca7e31707af3e96d522bbd,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00076,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ffdd40f9.0,Internal,PEM certificate in /etc/ssl/certs/ffdd40f9.0,RSA,,,,sha256:0552e6f83fdf65e8fa9670e666df28a4e21340b510cbe52566f97c4fb94b2bd1,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00077,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/DigiCert_Global_Root_G2.pem,Internal,PEM certificate in /etc/ssl/certs/DigiCert_Global_Root_G2.pem,RSA,,,,sha256:cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00078,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Atos_TrustedRoot_Root_CA_RSA_TLS_2021.pem,Internal,PEM certificate in /etc/ssl/certs/Atos_TrustedRoot_Root_CA_RSA_TLS_2021.pem,RSA,,,,sha256:81a9088ea59fb364c548a6f85559099b6f0405efbf18e5324ec9f457ba00112f,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00079,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Security_Communication_ECC_RootCA1.pem,Internal,PEM certificate in /etc/ssl/certs/Security_Communication_ECC_RootCA1.pem,EC (ECDSA/ECDH),,,,sha256:e74fbda55bd564c473a36b441aa799c8a68e077440e8288b9fa1e50e4bbaca11,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00080,,,2026-08-12,statically detected,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Security_Communication_ECC_RootCA1.pem,Internal,"pattern ""RC4"": HFNFQ09NIFRydXN0IFN5c3RlbXMgQ08uLExURC4xKzApBgNVBAMTIlNlY3VyaXR5",RC4,,,,/etc/ssl/certs/Security_Communication_ECC_RootCA1.pem:6,medium,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00081,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/09789157.0,Internal,PEM certificate in /etc/ssl/certs/09789157.0,RSA,,,,sha256:568d6905a2c88708a4b3025190edcfedb1974a606a13c6e5290fcb2ae63edab5,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00082,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/SecureSign_Root_CA14.pem,Internal,PEM certificate in /etc/ssl/certs/SecureSign_Root_CA14.pem,RSA,,,,sha256:4b009c1034494f9ab56bba3ba1d62731fc4d20d8955adcec10a925607261e338,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00083,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/002c0b4f.0,Internal,PEM certificate in /etc/ssl/certs/002c0b4f.0,RSA,,,,sha256:4fa3126d8d3a11d1c4855a4f807cbad6cf919d3a5a88b03bea2c6372d93c40c9,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00084,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/f30dd6ad.0,Internal,PEM certificate in /etc/ssl/certs/f30dd6ad.0,EC (ECDSA/ECDH),,,,sha256:4ff460d54b9c86dabfbcfc5712e0400d2bed3fbc4d4fbdaa86e06adcd2a9ad7a,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00085,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/b0e59380.0,Internal,PEM certificate in /etc/ssl/certs/b0e59380.0,EC (ECDSA/ECDH),,,,sha256:b085d70b964f191a73e4af0d54ae7a0e07aafdaf9b71dd0862138ab7325a24a2,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00086,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Certum_Trusted_Network_CA.pem,Internal,PEM certificate in /etc/ssl/certs/Certum_Trusted_Network_CA.pem,RSA,,,,sha256:5c58468d55f58e497e743982d2b50010b6d165374acf83a7d4a32db768c4408e,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00087,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/75d1b2ed.0,Internal,PEM certificate in /etc/ssl/certs/75d1b2ed.0,RSA,,,,sha256:552f7bdcf1a7af9e6ce672017f4f12abf77240c78e761ac203d1d9d20ac89988,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00088,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Certigna_Root_CA.pem,Internal,PEM certificate in /etc/ssl/certs/Certigna_Root_CA.pem,RSA,,,,sha256:d48d3d23eedb50a459e55197601c27774b9d7b18c94d5a059511a10250b93168,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00089,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Sectigo_Public_Server_Authentication_Root_R46.pem,Internal,PEM certificate in /etc/ssl/certs/Sectigo_Public_Server_Authentication_Root_R46.pem,RSA,,,,sha256:7bb647a62aeeac88bf257aa522d01ffea395e0ab45c73f93f65654ec38f25a06,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00090,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/da0cfd1d.0,Internal,PEM certificate in /etc/ssl/certs/da0cfd1d.0,EC (ECDSA/ECDH),,,,sha256:c90f26f0fb1b4018b22227519b5ca2b53e2ca5b3be5cf18efe1bef47380c5383,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00091,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/8d89cda1.0,Internal,PEM certificate in /etc/ssl/certs/8d89cda1.0,EC (ECDSA/ECDH),,,,sha256:358df39d764af9e1b766e9c972df352ee15cfac227af6ad1d70e8e4a6edcba02,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00092,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/68dd7389.0,Internal,PEM certificate in /etc/ssl/certs/68dd7389.0,RSA,,,,sha256:5a2fc03f0c83b090bbfa40604b0988446c7636183df9846e17101a447fb8efd6,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00093,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ACCVRAIZ1.pem,Internal,PEM certificate in /etc/ssl/certs/ACCVRAIZ1.pem,RSA,,,,sha256:9a6ec012e1a7da9dbe34194d478ad7c0db1822fb071df12981496ed104384113,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00094,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/BJCA_Global_Root_CA2.pem,Internal,PEM certificate in /etc/ssl/certs/BJCA_Global_Root_CA2.pem,EC (ECDSA/ECDH),,,,sha256:574df6931e278039667b720afdc1600fc27eb66dd3092979fb73856487212882,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00095,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/Hellenic_Academic_and_Research_Institutions_ECC_RootCA_2015.pem,Internal,PEM certificate in /etc/ssl/certs/Hellenic_Academic_and_Research_Institutions_ECC_RootCA_2015.pem,EC (ECDSA/ECDH),,,,sha256:44b545aa8a25e65a73ca15dc27fc36d24c1cb9953a066539b11582dc487b4833,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00096,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/IdenTrust_Public_Sector_Root_CA_1.pem,Internal,PEM certificate in /etc/ssl/certs/IdenTrust_Public_Sector_Root_CA_1.pem,RSA,,,,sha256:30d0895a9a448a262091635522d1f52010b5867acae12c78ef958fd4f4389f2f,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00097,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/b433981b.0,Internal,PEM certificate in /etc/ssl/certs/b433981b.0,RSA,,,,sha256:fb8fec759169b9106b1e511644c618c51304373f6c0643088d8beffd1b997599,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00098,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:9a6ec012e1a7da9dbe34194d478ad7c0db1822fb071df12981496ed104384113,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00099,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:ebc5570c29018c4d67b1aa127baf12f703b4611ebc17b7dab5573894179b93fa,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00100,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:554153b13d2cf9ddb753bfbe1a4e0ae08d0aa4187058fe60a2b862b2e4b87bcb,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00101,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:fb8fec759169b9106b1e511644c618c51304373f6c0643088d8beffd1b997599,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00102,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:55926084ec963a64b96e2abe01ce0ba86a64fbfebcc7aab5afc155b37fd76066,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00103,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:8ecde6884f3d87b1125ba31ac3fcb13d7016de7f57cc904fe1cb97c6ae98196e,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00104,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:1ba5b2aa8c65401a82960118f80bec4f62304d83cec4713a19c39c011ea46db4,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00105,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:18ce6cfe7bf14e60b2e347b8dfe868cb31d02ebb3ada271569f50343b46db3a4,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00106,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:e35d28419ed02025cfa69038cd623962458da5c695fbdea3c22b0bfb25897092,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00107,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:f356bea244b7a91eb35d53ca9ad7864ace018e2d35d5f8f96ddf68a6f41aa474,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00108,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:57de0583efd2b26e0361da99da9df4648def7ee8441c3b728afa9bcde0f9b26a,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00109,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:9a114025197c5bb95d94e63d55cd43790847b646b23cdf11ada4a00eff15fb48,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00110,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:edf7ebbca27a2a384d387b7d4010c666e2edb4843e4c29b4ae1d5b9332e6b24d,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00111,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:e23d4a036d7b70e9f595b1422079d2b91edfbb1fb651a0633eaa8a9dc5f80703,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00112,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:5cc3d78e4e1d5e45547a04e6873e64f90cf9536d1ccc2ef800f355c4c5fd70fd,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00113,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:1793927a0614549789adce2f8f34f7f0b66d0f3ae3a3b84d21ec15dbba4fadc7,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00114,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:52f0e1c4e58ec629291b60317f074671b85d7ea80d5b07273463534b32b40234,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00115,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:d48d3d23eedb50a459e55197601c27774b9d7b18c94d5a059511a10250b93168,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00116,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:6b328085625318aa50d173c98d8bda09d57e27413d114cf787a0f5d06c030cf6,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00117,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:5c58468d55f58e497e743982d2b50010b6d165374acf83a7d4a32db768c4408e,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00118,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:b676f2eddae8775cd36cb0f63cd1d4603961f49e6265ba013a2f0307b6d0b804,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00119,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:fe7696573855773e37a95e7ad4d9cc96c30157c15d31765ba9b15704e1ae78fd,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00120,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:49e7a442acf0ea6287050054b52564b650e4f49e42e348d6aa38e039e957b1c1,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00121,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:eec5496b988ce98625b934092eec2908bed0b0f316c2d4730c84eaf1f3d34881,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00122,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:7d05ebb682339f8c9451ee094eebfefa7953a114edb2f44949452fab7d2fc185,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00123,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:7e37cb8b4c47090cab36551ba6f45db840680fba166a952db100717f43053fc2,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00124,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:cb3ccbb76031e5e0138f8dd39a23f9de47ffc35e43c1144cea27d46a5ab1cb5f,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00125,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,EC (ECDSA/ECDH),,,,sha256:31ad6648f8104138c738f39ea4320133393e3a18cc02296ef97c2ac9ef6731d0,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00126,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:552f7bdcf1a7af9e6ce672017f4f12abf77240c78e761ac203d1d9d20ac89988,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00127,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:73c176434f1bc6d5adf45b0e76e727287c8de57616c1e6e6141a2b2cbc7d8e4c,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00128,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:bfff8fd04433487d6a8aa60c1a29767a9fc2bbb05e420f713a13b992891d3893,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
FIND-00129,,,2026-08-12,directly observed,qSearch 1.0.0 (scan collector),source code and certificates,/etc/ssl/certs/ca-certificates.crt,Internal,PEM certificate in /etc/ssl/certs/ca-certificates.crt,RSA,,,,sha256:d947432abde7b7fa90fc2e6b59101b1280e0e1c7e4e40fa3c6887fff57a7f4cf,high,No,Unvalidated (automated finding),,,Review,,,classification: quantum-vulnerable; risk: medium
